node,heuristic_score
976,0.503912
977,0.503912
978,0.503912
979,0.503912
980,0.503912
981,0.503912
982,0.0338419
983,0.503912
984,0.503912
985,0.067097
986,0.503912
987,0.503912
988,0.503912
989,0.503912
990,0.503912
991,0.503912
992,0.503912
993,0.503912
994,0.503912
995,0.503912
996,0.00723787
997,0.503912
998,0.503912
999,0.503912
1000,0.503912
1001,0.503912
1002,0.503912
1003,0.503912
1004,0.503912
1005,0.503912
1006,0.503912
1007,0.503912
1008,0.503912
1009,0.503912
1010,0.503912
1011,0.503912
1012,0.503912
1013,0.503912
1014,0.503912
1015,0.0105634
1016,0.00723787
1017,0.503912
1018,0.503912
1019,0.503912
1020,0.503912
1021,0.0305164
1022,0.503912
1023,0.503912
1024,0.503912
1025,0.00723787
1026,0.503912
1027,0.503912
1028,0.503912
1029,0.503912
1030,0.047144
1031,0.503912
1032,0.503912
1033,0.503912
1034,0.503912
1035,0.503912
1036,0.503912
1037,0.503912
1038,0.503912
1039,0.503912
1040,0.503912
1041,0.503912
1042,0.503912
1043,0.503912
1044,0.00723787
1045,0.503912
1046,0.503912
1047,0.503912
1048,0.503912
1049,0.503912
1050,0.503912
1051,0.503912
1052,0.503912
1053,0.503912
1054,0.503912
1055,0.503912
1056,0.503912
1057,0.503912
1058,0.503912
1059,0.503912
1060,0.503912
1061,0.503912
1062,0.503912
1063,0.503912
1064,0.503912
1065,0.00723787
1066,0.00723787
1067,0.503912
1068,0.503912
1069,0.503912
1070,0.503912
1071,0.503912
1072,0.503912
1073,0.503912
1074,0.503912
1075,0.503912
1076,0.503912
1077,0.503912
1078,0.503912
1079,0.503912
1080,0.503912
1081,0.503912
1082,0.503912
1083,0.503912
1084,0.503912
1085,0.503912
1086,0.503912
1087,0.0172144
1088,0.503912
1089,0.503912
1090,0.503912
1091,0.503912
1092,0.503912
1093,0.503912
1094,0.0305164
1095,0.503912
1096,0.503912
1097,0.503912
1098,0.503912
1099,0.503912
1100,0.503912
1101,0.503912
1102,0.503912
1103,0.503912
1104,0.503912
1105,0.503912
1106,0.503912
1107,0.503912
1108,0.503912
1109,0.503912
1110,0.503912
1111,0.503912
1112,0.503912
1113,0.503912
1114,0.503912
1115,0.503912
1116,0.047144
1117,0.503912
1118,0.503912
1119,0.0105634
1120,0.503912
1121,0.503912
1122,0.503912
1123,0.00723787
1124,0.503912
1125,0.503912
1126,0.503912
1127,0.503912
1128,0.503912
1129,0.503912
1130,0.503912
1131,0.503912
1132,0.503912
1133,0.503912
1134,0.503912
1135,0.503912
1136,0.503912
1137,0.0338419
1138,0.0105634
1139,0.00723787
1140,0.503912
1141,0.503912
1142,0.503912
1143,0.503912
1144,0.503912
1145,0.0105634
1146,0.503912
1147,0.503912
1148,0.503912
1149,0.0138889
1150,0.503912
1151,0.503912
1152,0.503912
1153,0.503912
1154,0.503912
1155,0.503912
1156,0.503912
1157,0.503912
1158,0.503912
1159,0.503912
1160,0.503912
1161,0.503912
1162,0.503912
1163,0.503912
1164,0.503912
1165,0.503912
1166,0.503912
1167,0.503912
1168,0.503912
1169,0.503912
1170,0.503912
1171,0.0770736
1172,0.503912
1173,0.503912
1174,0.503912
1175,0.503912
1176,0.503912
